"movieId","title","year"
27904,"Scanner Darkly, A",2006
38188,"Bubble",2006
41863,"Three Burials of Melquiades Estrada, The",2006
42725,"Grandma's Boy",2006
42728,"Tristan & Isolde",2006
42730,"Glory Road",2006
42732,"Last Holiday",2006
42738,"Underworld: Evolution",2006
43419,"Bandidas",2006
43556,"Annapolis",2006
43558,"Big Momma's House 2",2006
43679,"Final Destination 3",2006
43836,"Pink Panther, The",2006
43869,"Curious George",2006
43871,"Firewall",2006
43904,"When a Stranger Calls",2006
43912,"Freedomland",2006
43917,"Eight Below",2006
43919,"Date Movie",2006
43923,"Tyler Perry's Madea's Family Reunion",2006
43928,"Ultraviolet",2006
43930,"Just My Luck",2006
43932,"Pulse",2006
43934,"Deep Sea 3D",2006
43936,"16 Blocks",2006
43987,"Half Light",2006
44004,"Failure to Launch",2006
44022,"Ice Age 2: The Meltdown",2006
44191,"V for Vendetta",2006
44193,"She's the Man",2006
44195,"Thank You for Smoking",2006
44199,"Inside Man",2006
44225,"Aquamarine",2006
44397,"Hills Have Eyes, The",2006
44399,"Shaggy Dog, The",2006
44555,"Lives of Others, The (Das leben der Anderen)",2006
44613,"Take the Lead",2006
44665,"Lucky Number Slevin",2006
44694,"Volver",2006
44709,"Akeelah and the Bee",2006
44729,"Larry the Cable Guy: Health Inspector",2006
44731,"Stay Alive",2006
44759,"Basic Instinct 2",2006
44788,"This Film Is Not Yet Rated",2006
44815,"ATL",2006
44828,"Slither",2006
44840,"Benchwarmers, The",2006
44844,"Phat Girlz",2006
44864,"Friends with Money",2006
44929,"Candy",2006
44949,"Hoot",2006
44972,"Scary Movie 4",2006
45028,"Prairie Home Companion, A",2006
45062,"Sentinel, The",2006
45074,"Wild, The",2006
45081,"Silent Hill",2006
45106,"American Dreamz",2006
45186,"Mission: Impossible III",2006
45208,"RV",2006
45210,"United 93",2006
45221,"Stick It",2006
45431,"Over the Hedge",2006
45440,"Art School Confidential",2006
45442,"Poseidon",2006
45447,"Da Vinci Code, The",2006
45499,"X-Men: The Last Stand",2006
45501,"Break-Up, The",2006
45503,"Peaceful Warrior",2006
45517,"Cars",2006
45662,"Omen, The",2006
45666,"Nacho Libre",2006
45668,"Lake House, The",2006
45672,"Click",2006
45720,"Devil Wears Prada, The",2006
45722,"Pirates of the Caribbean: Dead Man's Chest",2006
45726,"You, Me and Dupree",2006
45728,"Clerks II",2006
45730,"Lady in the Water",2006
45732,"My Super Ex-Girlfriend",2006
45852,"See No Evil",2006
45880,"Marie Antoinette",2006
45928,"Who Killed the Electric Car?",2006
45950,"Inconvenient Truth, An",2006
45981,"Hollow Man II",2006
